POSICIÓN,SUELDO,CLASIFICACIÓN,PRESTACIONES DE LEY,PRESTACIONES SUPERIORES,EMPRESA,GIRO,TAMAÑO DE LA EMPRESA,CIUDAD O ZONA,ESTADO,REGIÓN,FUENTE,PT SEGURO DE VIDA,PT MEMEBRESIA DESC,PT TRANSPORTE,PT SGMM,PT FLEXIBILIDAD,PT VALES DESPENSA/GASOLINA,PLAN DE CRECIMIENTO,PT ECONOMICAS,PT GRATUITAS INST,OBSERVACIONES
GERENTE DE IMPUESTOS,"$37,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS FINANCIEROS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$165,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR FINANZAS,"$150,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$52,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$42,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FISCAL,"$47,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE IMPUESTOS,"$91,400.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$37,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$50,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$18,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCIÓN A CLIENTES,"$13,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$23,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$25,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$34,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$28,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$27,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$11,000.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE MERCADOTECNIA,"$12,050.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE TESORERIA,"$57,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$60,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$92,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR FINANZAS,"$117,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$37,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$58,750.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FISCAL,"$41,250.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE IMPUESTOS,"$40,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$38,750.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$32,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$12,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCIÓN A CLIENTES,"$16,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$19,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$24,750.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$21,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$29,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$8,000.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE MERCADOTECNIA,"$10,500.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE TESORERIA,"$32,450.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$48,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$100,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR FINANZAS,"$120,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$12,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$20,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FISCAL,"$26,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE IMPUESTOS,"$32,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$35,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$12,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCIÓN A CLIENTES,"$14,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$19,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$20,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$30,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$9,500.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE MERCADOTECNIA,"$8,500.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE TESORERIA,"$32,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$20,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$85,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR FINANZAS,"$115,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$32,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$56,250.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FISCAL,"$45,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE IMPUESTOS,"$42,390.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$35,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$25,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$14,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCIÓN A CLIENTES,"$20,150.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$14,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$26,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$16,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$16,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$22,250.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$7,250.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE MERCADOTECNIA,"$10,625.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE TESORERIA,"$49,700.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$37,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$125,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$150,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$28,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$24,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$25,583.50",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$32,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$60,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$30,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$34,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$40,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$23,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$26,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CALIDAD,"$41,778.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE LOGISTICA,"$19,750.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEON,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$117,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$125,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$25,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$28,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$31,250.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$14,950.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$21,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$23,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
